Results Table 1
;"1"
End date;"maandag 12 april 2021 10:19:25"
Maximum Force;(kN);"15.77"
Displacement at Maximum Force;(mm);"3.08"

Time;Force;Displacement
(s);(kN);(mm)
"52.0330";"4.1385";"1.2810"
"52.1330";"4.1486";"1.2827"
"52.2330";"4.1582";"1.2844"
"52.3330";"4.1664";"1.2860"
"52.4330";"4.1761";"1.2877"
"52.5330";"4.1859";"1.2894"
"52.6330";"4.1944";"1.2910"
"52.7330";"4.2041";"1.2927"
"52.8330";"4.2133";"1.2943"
"52.9330";"4.2233";"1.2960"
"53.0330";"4.2325";"1.2977"
"53.1330";"4.2415";"1.2993"
"53.2330";"4.2522";"1.3011"
"53.3330";"4.2606";"1.3027"
"53.4330";"4.2704";"1.3044"
"53.5330";"4.2805";"1.3061"
"53.6330";"4.2888";"1.3077"
"53.7330";"4.2985";"1.3094"
"53.8330";"4.3075";"1.3111"
"53.9330";"4.3172";"1.3127"
"54.0330";"4.3270";"1.3144"
"54.1330";"4.3360";"1.3160"
"54.2330";"4.3457";"1.3177"
"54.3330";"4.3557";"1.3194"
"54.4330";"4.3645";"1.3210"
"54.5330";"4.3743";"1.3227"
"54.6330";"4.3842";"1.3244"
"54.7330";"4.3930";"1.3260"
"54.8330";"4.4037";"1.3277"
"54.9330";"4.4124";"1.3294"
"55.0330";"4.4218";"1.3310"
"55.1330";"4.4314";"1.3327"
"55.2330";"4.4406";"1.3343"
"55.3330";"4.4506";"1.3361"
"55.4330";"4.4600";"1.3377"
"55.5330";"4.4699";"1.3393"
"55.6330";"4.4797";"1.3411"
"55.7330";"4.4886";"1.3427"
"55.8330";"4.4980";"1.3443"
"55.9330";"4.5087";"1.3460"
"56.0330";"4.5177";"1.3476"
"56.1330";"4.5278";"1.3494"
"56.2330";"4.5369";"1.3510"
"56.3330";"4.5463";"1.3526"
"56.4330";"4.5566";"1.3544"
"56.5330";"4.5657";"1.3560"
"56.6330";"4.5756";"1.3577"
"56.7330";"4.5853";"1.3594"
"56.8330";"4.5948";"1.3610"
"56.9330";"4.6048";"1.3627"
"57.0330";"4.6144";"1.3644"
"57.1330";"4.6236";"1.3660"
"57.2330";"4.6336";"1.3677"
"57.3330";"4.6431";"1.3694"
"57.4330";"4.6530";"1.3710"
"57.5330";"4.6627";"1.3727"
"57.6330";"4.6728";"1.3743"
"57.7330";"4.6825";"1.3760"
"57.8330";"4.6922";"1.3777"
"57.9330";"4.7021";"1.3793"
"58.0330";"4.7121";"1.3811"
"58.1330";"4.7215";"1.3827"
"58.2330";"4.7318";"1.3844"
"58.3330";"4.7418";"1.3861"
"58.4330";"4.7505";"1.3877"
"58.5330";"4.7611";"1.3894"
"58.6330";"4.7704";"1.3910"
"58.7330";"4.7808";"1.3927"
"58.8330";"4.7910";"1.3944"
"58.9330";"4.8000";"1.3960"
"59.0330";"4.8105";"1.3977"
"59.1330";"4.8205";"1.3994"
"59.2330";"4.8305";"1.4010"
"59.3330";"4.8403";"1.4027"
"59.4330";"4.8508";"1.4044"
"59.5330";"4.8598";"1.4060"
"59.6330";"4.8704";"1.4077"
"59.7330";"4.8799";"1.4094"
"59.8330";"4.8905";"1.4110"
"59.9330";"4.9007";"1.4127"
"60.0330";"4.9097";"1.4144"
"60.1330";"4.9208";"1.4161"
"60.2330";"4.9300";"1.4177"
"60.3330";"4.9402";"1.4194"
"60.4330";"4.9508";"1.4211"
"60.5330";"4.9604";"1.4227"
"60.6330";"4.9710";"1.4244"
"60.7330";"4.9815";"1.4260"
"60.8330";"4.9911";"1.4276"
"60.9330";"5.0019";"1.4294"
"61.0330";"5.0112";"1.4310"
"61.1330";"5.0208";"1.4327"
"61.2330";"5.0324";"1.4344"
"61.3330";"5.0419";"1.4360"
"61.4330";"5.0523";"1.4377"
"61.5330";"5.0623";"1.4394"
"61.6330";"5.0728";"1.4410"
"61.7330";"5.0835";"1.4427"
"61.8330";"5.0932";"1.4444"
"61.9330";"5.1033";"1.4460"
"62.0330";"5.1148";"1.4477"
"62.1330";"5.1239";"1.4493"
"62.2330";"5.1346";"1.4510"
"62.3330";"5.1450";"1.4527"
"62.4330";"5.1547";"1.4543"
"62.5330";"5.1658";"1.4561"
"62.6330";"5.1753";"1.4577"
"62.7330";"5.1859";"1.4593"
"62.8330";"5.1971";"1.4611"
"62.9330";"5.2067";"1.4627"
"63.0330";"5.2174";"1.4644"
"63.1330";"5.2284";"1.4661"
"63.2330";"5.2379";"1.4677"
"63.3330";"5.2490";"1.4694"
"63.4330";"5.2592";"1.4710"
"63.5330";"5.2691";"1.4727"
"63.6330";"5.2798";"1.4744"
"63.7330";"5.2900";"1.4760"
"63.8330";"5.3006";"1.4777"
"63.9330";"5.3109";"1.4794"
"64.0330";"5.3217";"1.4810"
"64.1330";"5.3326";"1.4827"
"64.2330";"5.3427";"1.4843"
"64.3330";"5.3532";"1.4860"
"64.4330";"5.3649";"1.4877"
"64.5330";"5.3745";"1.4893"
"64.6330";"5.3859";"1.4910"
"64.7330";"5.3963";"1.4927"
"64.8330";"5.4069";"1.4943"
"64.9330";"5.4179";"1.4961"
"65.0330";"5.4279";"1.4977"
"65.1330";"5.4392";"1.4994"
"65.2330";"5.4494";"1.5011"
"65.3330";"5.4598";"1.5027"
"65.4330";"5.4707";"1.5044"
"65.5330";"5.4812";"1.5060"
"65.6330";"5.4921";"1.5076"
"65.7330";"5.5028";"1.5094"
"65.8330";"5.5137";"1.5110"
"65.9330";"5.5242";"1.5127"
"66.0330";"5.5360";"1.5144"
"66.1330";"5.5457";"1.5160"
"66.2330";"5.5573";"1.5177"
"66.3330";"5.5680";"1.5194"
"66.4330";"5.5782";"1.5210"
"66.5330";"5.5895";"1.5227"
"66.6330";"5.6006";"1.5244"
"66.7330";"5.6111";"1.5260"
"66.8330";"5.6222";"1.5277"
"66.9330";"5.6320";"1.5293"
"67.0330";"5.6441";"1.5310"
"67.1330";"5.6544";"1.5327"
"67.2330";"5.6657";"1.5343"
"67.3330";"5.6766";"1.5360"
"67.4330";"5.6870";"1.5377"
"67.5330";"5.6988";"1.5394"
"67.6330";"5.7101";"1.5410"
"67.7330";"5.7207";"1.5427"
"67.8330";"5.7318";"1.5444"
"67.9330";"5.7421";"1.5460"
"68.0330";"5.7539";"1.5477"
"68.1330";"5.7652";"1.5494"
"68.2330";"5.7749";"1.5510"
"68.3330";"5.7863";"1.5527"
"68.4330";"5.7980";"1.5544"
"68.5330";"5.8083";"1.5560"
"68.6330";"5.8200";"1.5577"
"68.7330";"5.8307";"1.5594"
"68.8330";"5.8414";"1.5610"
"68.9330";"5.8532";"1.5627"
"69.0330";"5.8641";"1.5643"
"69.1330";"5.8753";"1.5660"
"69.2330";"5.8871";"1.5677"
"69.3330";"5.8974";"1.5693"
"69.4330";"5.9089";"1.5711"
"69.5330";"5.9203";"1.5727"
"69.6330";"5.9309";"1.5744"
"69.7330";"5.9423";"1.5761"
"69.8330";"5.9533";"1.5777"
"69.9330";"5.9648";"1.5794"
"70.0330";"5.9755";"1.5810"
"70.1330";"5.9867";"1.5827"
"70.2330";"5.9984";"1.5844"
"70.3330";"6.0089";"1.5860"
"70.4330";"6.0201";"1.5877"
"70.5330";"6.0323";"1.5894"
"70.6330";"6.0426";"1.5910"
"70.7330";"6.0550";"1.5927"
"70.8330";"6.0661";"1.5944"
"70.9330";"6.0765";"1.5960"
"71.0330";"6.0888";"1.5977"
"71.1330";"6.0991";"1.5994"
"71.2330";"6.1101";"1.6010"
"71.3330";"6.1221";"1.6027"
